
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Alprostadil Suppository","Mylan Institutional, a Viatris Company","800-796-9526","Muse, Suppository, 500 ug (NDC 0037-8130-06)","Reverified","07/18/2024","Unavailable","Out of stock; Estimated release dates to be determined","","Delay in shipping of the drug","Urology","Current","","","10/18/2022","","","","","","",""
"Alprostadil Suppository","Mylan Institutional, a Viatris Company","800-796-9526","Muse, Suppository, 1000 ug (NDC 0037-8140-06)","Reverified","07/18/2024","Unavailable","Out of stock; Estimated release dates to be determined","","Delay in shipping of the drug","Urology","Current","","","10/18/2022","","","","","","",""
"Amifostine Injection","Clinigen, Inc.","877-776-5385","Ethyol, Injection, 500 mg/10 mL (NDC 76310-017-50)","Revised","04/18/2024","Unavailable","Temporary discontinuation of the manufacture of the drug","","Discontinuation of the manufacture of the drug","Oncology; Other","Current","","","05/21/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-00)","Reverified","07/16/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 15% In Plastic Container, Injection, 0.15 (NDC 0990-7171-17)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7171-17","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 10% In Plastic Container, Injection, 0.1 (NDC 0990-7172-17)","Reverified","07/16/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7172-17","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 7%, Injection, 0.07 (NDC 0990-4178-03)","Reverified","07/16/2024","Unavailable","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-4178-03","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 10%, Injection, 0.1 (NDC 0990-4179-05)","Reverified","07/16/2024","Unavailable","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-4179-05","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-06)","Reverified","07/17/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-05)","Reverified","07/16/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-03)","Reverified","07/17/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 50 mg (NDC 0591-5714-01)","Reverified","07/19/2024","Unavailable","Estimated recovery September 2024","","Other","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 25 mg (NDC 0591-5713-01)","Reverified","07/19/2024","Unavailable","Estimated recovery September 2024","","Other","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 100 mg (NDC 0591-5715-01)","Reverified","07/19/2024","Unavailable","Estimated recovery September 2024","","Other","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 150 mg (NDC 0591-5716-30)","Reverified","07/19/2024","Unavailable","Estimated Recovery September 2024","","Other","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-55)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-80)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-50)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-75)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-55)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-80)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-50)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-75)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-15)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-80)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-50)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-75)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Amoxicillin, Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-15)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-80)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-50)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-75)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-73)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-76)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 200 mg/5 mL (NDC 0093-4160-78)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-73)","Reverified","07/19/2024","Available","-","","Demand increase for the drug","Anti-Infective","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-76)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 400 mg/5 mL (NDC 0093-4161-78)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-01)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-01)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-01)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-01)","Revised","05/15/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-01)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-01)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-01)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-01)","Reverified","07/25/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 125 mg/5 mL (NDC 0781-6039-46)","Reverified","07/19/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 125 mg/5 mL (NDC 0781-6039-55)","Reverified","07/19/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 125 mg/5 mL (NDC 0781-6039-58)","Reverified","07/19/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 200 mg/5 mL (NDC 0781-6156-46)","Reverified","07/19/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 200 mg/5 mL (NDC 0781-6156-52)","Reverified","07/19/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 200 mg/5 mL (NDC 0781-6156-57)","Reverified","07/19/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 400 mg/5 mL (NDC 0781-6157-46)","Reverified","07/19/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 400 mg/5 mL (NDC 0781-6157-52)","Reverified","07/19/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-545-8747","Powder, For Suspension, 400 mg/5 mL (NDC 0781-6157-57)","Reverified","07/19/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 250 mg/5 mL (NDC 0781-6041-46)","Reverified","07/19/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 250 mg/5 mL (NDC 0781-6041-55)","Reverified","07/19/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 250 mg/5 mL (NDC 0781-6041-58)","Reverified","07/19/2024","Limited Availability","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 250 mg/5 mL (NDC 0093-4155-73)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 250 mg/5 mL (NDC 0093-4155-80)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxicillin for Oral Suspension, USP, Powder, For Suspension, 250 mg/5 mL (NDC 0093-4155-79)","Reverified","07/19/2024","Available","-","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.875 mg; 1.875 mg; 1.875 mg; 1.875 mg (NDC 0406-8884-01)","Revised","08/02/2024","Available","Available for primary customers","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 0406-8885-01)","Revised","08/02/2024","Limited Availability","Available for primary customers only; Backorder expected in August 2024 with recovery late Sept.","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 0406-8891-01)","Revised","08/02/2024","Limited Availability","Available to primary customers only.","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 0406-8892-01)","Revised","08/02/2024","Limited Availability","Available for primary customers only. Backorder projected in November","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 0406-8893-01)","Revised","08/02/2024","Limited Availability","Available for primary customers only. Backorder projected in November","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","SpecGx LLC","800-325-8888","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 0406-8894-01)","Revised","08/02/2024","Limited Availability","Available to primary customers only. Backorder expected in July. Next release late Aug with intermittent backorder through Oct 2024","","Shortage of an active ingredient","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 42806-344-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 42806-341-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 42806-343-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 42806-345-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC","(718) 276-8600 ext. 3","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 42806-339-01)","Reverified","07/15/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 47781-174-01)","Reverified","07/02/2024","Available","Supporting contracted business only","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 2.5 mg; 2.5 mg; 2.5 mg; 2.5 mg (NDC 47781-176-01)","Reverified","07/02/2024","Available","Supporting contracted business only","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 3.75 mg; 3.75 mg; 3.75 mg; 3.75 mg (NDC 47781-178-01)","Reverified","07/02/2024","Available","Supporting contracted business only","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 5 mg; 5 mg; 5 mg; 5 mg (NDC 47781-179-01)","Reverified","07/02/2024","Available","Supporting contracted business only","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Alvogen","844-842-8672 and email: CustomerService-US@alvogen.com","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 7.5 mg; 7.5 mg; 7.5 mg; 7.5 mg (NDC 47781-180-01)","Reverified","05/18/2024","Available","Supporting contracted business only","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.","732-382-6085 Monday to Friday 9 am to 3:45 pm","Dextroamp Saccharate, Amp Aspartate, Dextroamp Sulfate And Amp Sulfate, Tablet, 1.25 mg; 1.25 mg; 1.25 mg; 1.25 mg (NDC 11534-190-01)","Reverified","05/01/2024","Available","","","","Psychiatry","Current","","","10/12/2022","","","","","","",""
